{SimaPro 9.3.0.3};;;;;;
{methods};;;;;;
{Date: 2/22/2023};;;;;;
{Time: 12:10:37 PM};;;;;;
{Project: 2022_mobilita};;;;;;
{CSV Format version: 9.0.0};;;;;;
{CSV separator: Semicolon};;;;;;
{Decimal separator: .};;;;;;
{Date separator: /};;;;;;
{Short date format: M/d/yyyy};;;;;;
{Export platform IDs: Yes};;;;;;
{Selection: Selection (1)};;;;;;
{Related objects (system descriptions, substances, units, etc.): Yes};;;;;;
{Include sub product stages and processes: No};;;;;;
{Open project: '2022_mobilita'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - system'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - unit'};;;;;;
{Library 'Methods'};;;;;;
;;;;;;
Method;;;;;;
;;;;;;
Name;;;;;;
RSE CLCC e critical CLCC;;;;;;
;;;;;;
Version;;;;;;
Raw;(unspecified);Gold, Au 1.8E-4%, in mixed ore;007440-57-5;5.20E+01;kg;BE5BF80D-0373-4752-8BCF-A68497EDBA53
Raw;(unspecified);Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore;007440-57-5;5.20E+01;kg;E60E9C4B-31E4-4526-8092-17D07F52EB8C
Raw;(unspecified);Gold, Au 4.3E-4%, in ore;007440-57-5;5.20E+01;kg;458A5D26-3459-466C-A177-8BB3B6CEA5F2
Raw;(unspecified);Gold, Au 4.9E-5%, in ore;007440-57-5;5.20E+01;kg;3CE0ABD1-106E-4A65-88BD-ED3E80755E45
Raw;(unspecified);Gold, Au 5.4E-4%, Ag 1.5E-5%, in ore;007440-57-5;5.20E+01;kg;7EAA634F-71DF-4596-A54C-3D7EFAFBAC76
Raw;(unspecified);Gold, Au 6.7E-4%, in ore;007440-57-5;5.20E+01;kg;CA926170-A1DD-4E53-9A3F-04E99D7651F8
Raw;(unspecified);Gold, Au 6.8E-4%, Ag 1.5E-4%, in ore;007440-57-5;5.20E+01;kg;CCF118F7-ACD5-41F1-ADAD-C0F29963614C
Raw;(unspecified);Gold, Au 7.1E-4%, in ore;007440-57-5;5.20E+01;kg;825A0F72-1E1C-44C9-8141-3AAE7DE1395D
Raw;(unspecified);Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore;007440-57-5;5.20E+01;kg;2748933C-41E9-4ED4-B047-3506E8C050DA
Raw;(unspecified);Gold, Au 9.7E-5%, Ag 7.6E-5%, in ore;007440-57-5;5.20E+01;kg;26D0D969-2A75-40F5-B280-7C5539FC34C0
Raw;(unspecified);Indium;007440-74-6;6.89E-03;kg;47122C06-749D-4893-B9E4-AB6A6F5EC61D
Raw;(unspecified);Iodine;014362-44-8;2.50E-02;kg;CF812438-7347-42A2-AA5C-B67DB3459802
Raw;in water;Iodine;014362-44-8;0;kg;CF812438-7347-42A2-AA5C-B67DB3459802
Raw;(unspecified);Iron;007439-89-6;5.24E-08;kg;8B29B78B-2B9E-432C-AE49-FE84E3928631
Raw;(unspecified);Lead;007439-92-1;6.34E-03;kg;05B3ACBD-3CF2-4DBE-BF11-0557E5E6E6B0
Raw;(unspecified);Lead, Pb 0.014%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, in ore;007439-92-1;6.34E-03;kg;352A4350-90F5-4438-8EB3-BC0248BF9CD1
Raw;(unspecified);Lead, Pb 3.6E-1%, in mixed ore;007439-92-1;6.34E-03;kg;6D713C90-407D-4426-9F3E-FB30F2C6B1D7
Raw;(unspecified);Lithium;007439-93-2;1.15E-05;kg;A6953378-42E3-40DC-B3E1-3A70C6645F08
Raw;(unspecified);Magnesium;007439-95-4;2.02E-09;kg;4891F6DD-BF00-49E8-888D-0D5D9765537E
Raw;in water;Magnesium;007439-95-4;0;kg;4891F6DD-BF00-49E8-888D-0D5D9765537E
Raw;(unspecified);Manganese;007439-96-5;2.54E-06;kg;9BCC29CF-89B5-4354-90BC-9CD3AFEDD7B2
Raw;(unspecified);Mercury;007439-97-6;9.22E-02;kg;75332F76-8BFE-4485-A7EC-C4C54C859B82
Raw;(unspecified);Molybdenum;007439-98-7;1.78E-02;kg;0FFBD0D1-59ED-4F61-A68A-F829F8AA25A0
Raw;(unspecified);Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore;007439-98-7;1.78E-02;kg;FE841ED3-EAEC-4094-BC85-D9F12C27A96B
Raw;(unspecified);Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore;007439-98-7;1.78E-02;kg;707413BF-9E83-43C4-9F51-E6EA24B5F5B1
Raw;(unspecified);Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore;007439-98-7;1.78E-02;kg;C788BD22-605F-4977-B670-DB610DAA1876
Raw;(unspecified);Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore;007439-98-7;1.78E-02;kg;1EE5AA58-500B-4BD5-8514-E69AF70578C1
