comm;no_comm;um;comtrade_code;comext_code;usitc_code;ds_code;imf_code;quandl_code;eurostat_code;source;critical
Osmium;;kg;711041;;;;;;;comtrade;yes
Ferromanganese;;kg;720211;;;;;;;comtrade;no
Bismuth;;kg;810610;;;;;;;comtrade;yes
Beryllium;;kg;811212;;;;;;;comtrade;yes
Thallium;;kg;811251;;;;;;;comtrade;no
PGM, 4.7E-4% Pt, 3.1E-4% Pd, 0.2E-4% Rh, in crude ore;;;711021;;;;;;;comtrade;no
Copper;;kg;;;;;PCOPP;ODA/PCOPP_USD;;imf;no
Wood, soft, standing;;m3;;;;;PLOGORE;ODA/PLOGORE_USD;;imf;no
Wood, hard, standing;;m3;;;;;PLOGSK;ODA/PLOGSK_USD;;imf;no
Platinum;;kg;;;;;PPLAT;ODA/PPLAT_USD;;imf;yes
Silver;;kg;;;;;PSILVER;ODA/PSILVER_USD;;imf;no
Argon-40/kg;;kg;280421;;;;;;comtrade;no;no
Basalt, in Boden;;kg;2516;;;;;;comtrade;no;no
Coal, brown, 10 MJ per kg;;kg;2702;;;;;;comtrade;no;no
Coal, brown, 8 MJ per kg;;kg;2702;;;;;;comtrade;no;no
Carbon dioxide, non-fossil, resource correction;;kg;;;EEXEUAS;;;;none;no;no
Copper, Cu 6.8E-1%, in mixed ore;;kg;2603;;;;;;comtrade;no;no
Energy, from biomass;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, from coal;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, from coal, brown;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, from gas, natural;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, from hydro power;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, from hydrogen;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, from oil;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, from oil sand (10% bitumen);;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, from oil sand (100% bitumen);;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, from peat;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, from pit methane;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, from sulfur;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, from uranium;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, from wood;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, geothermal;;MJ;;;;;;nrg_pc_205;eurostat;no;no
